125
104.17.183.118	10104	9956
159.178.108.111	10003	9848
104.154.198.228	9900	9835
187.237.14.200	9747	9747
159.178.237.53	9686	9681
70.187.95.95	9512	9510
52.84.76.175	9455	9450
103.26.37.253	9348	9324
88.231.33.95	9132	8968
73.224.42.241	9077	8910
165.215.209.15	8982	8982
159.178.107.44	8740	8698
159.178.102.100	8739	8733
54.230.161.109	8675	8673
216.52.195.182	8595	8584
23.202.88.31	8462	8462
104.92.17.82	8399	8390
96.7.182.150	8374	8364
128.227.112.222	8269	7904
157.55.39.140	8066	8058
149.169.208.76	8030	8030
104.16.89.188	7867	7867
69.252.101.144	7765	7763
66.249.64.14	7705	7701
192.210.199.106	7666	7374
159.178.137.117	7656	7581
156.154.65.196	7603	7597
34.206.148.175	7531	7485
159.178.129.112	7472	7011
91.198.117.247	7418	7394
63.251.240.12	7404	7380
8.27.160.227	7349	7272
159.178.112.71	7315	7315
174.70.89.126	7304	7291
68.64.22.136	7271	7262
172.217.8.80	7218	7187
120.239.64.18	7160	7122
98.18.16.218	7124	6944
159.178.115.102	7069	7063
73.224.76.160	6956	6946
71.6.146.185	6954	6808
159.178.129.91	6811	6783
98.18.150.191	6782	6714
95.101.36.67	6668	6666
112.198.103.2	6660	6652
209.112.113.33	6580	6487
54.192.205.183	6557	6537
159.178.108.48	6516	6501
159.178.100.162	6406	6392
198.245.89.70	6360	6296
159.178.100.82	6326	6058
159.178.119.40	6168	6164
171.161.207.200	6158	6136
104.92.16.146	6052	5571
204.74.115.1	6009	5681
159.178.100.33	5998	5996
178.33.214.223	5958	5946
207.46.13.156	5950	5892
159.178.32.133	5895	5890
159.178.100.84	5893	5867
108.77.224.238	5880	4060
66.231.139.112	5865	5862
198.102.61.236	5757	5752
66.87.114.206	5756	5722
159.178.109.180	5753	5744
69.172.201.238	5690	5690
128.227.71.18	5625	4926
167.68.20.174	5573	5423
109.243.39.91	5566	2
35.190.151.98	5565	5524
99.166.162.58	5563	5530
54.192.205.60	5557	5543
128.227.220.36	5536	5525
23.15.61.170	5527	5396
199.204.59.137	5504	5472
149.111.148.27	5483	5421
40.76.218.33	5466	5386
96.7.49.194	5413	5139
212.227.17.4	5412	5356
216.58.219.67	5370	5122
128.227.236.254	5338	5102
107.77.218.214	5256	5254
184.50.26.236	5256	5254
209.73.179.8	5247	5108
24.236.111.9	5216	5216
205.251.196.29	5180	4318
59.45.175.56	5178	5172
216.200.96.194	5172	5168
159.178.108.184	5086	5038
159.178.96.156	5051	4992
128.227.111.65	5043	4878
104.92.12.53	5026	5000
208.80.124.2	5021	5001
208.80.125.4	4978	4966
104.17.8.41	4942	4932
159.178.100.234	4938	4717
170.146.96.193	4936	4926
188.184.36.52	4917	4904
63.150.163.52	4887	3906
54.67.57.25	4864	4848
